zip,latitude,longitude,usda_zone,avg_last_frost,avg_first_frost
00601,18.1801,-66.74947,11b,01-01,12-31
00602,18.36329,-67.18024,12b,01-01,12-31
00603,18.44862,-67.13422,13a,01-01,12-31
00606,18.18215,-66.9588,12b,01-01,12-31
00610,18.28832,-67.13604,12b,01-01,12-31
00611,18.27953,-66.80217,12a,01-01,12-31
00612,18.44973,-66.69879,13a,01-01,12-31
00616,18.42675,-66.67669,12b,01-01,12-31
00617,18.4555,-66.55575,13a,01-01,12-31
00622,18.00313,-67.16745,13a,01-01,12-31
00623,18.08643,-67.15222,12b,01-01,12-31
00624,18.0554,-66.72602,12b,01-01,12-31
00627,18.43525,-66.85644,13a,01-01,12-31
00631,18.18674,-66.85174,11b,01-01,12-31
00636,18.11328,-67.03971,12b,01-01,12-31
00637,18.07308,-66.94864,12b,01-01,12-31
00638,18.30814,-66.49835,12b,01-01,12-31
00641,18.2689,-66.70519,12a,01-01,12-31
00646,18.4428,-66.27689,13a,01-01,12-31
00647,17.96453,-66.93993,13a,01-01,12-31
00650,18.36333,-66.56773,12b,01-01,12-31
00652,18.45745,-66.61217,13a,01-01,12-31
00653,17.99211,-66.90097,13a,01-01,12-31
00656,18.03887,-66.79168,13a,01-01,12-31
00659,18.43296,-66.80039,13a,01-01,12-31
00660,18.13911,-67.12085,12b,01-01,12-31
00662,18.47885,-67.01973,13a,01-01,12-31
00664,18.21257,-66.59243,12a,01-01,12-31
00667,18.01782,-67.04226,13a,01-01,12-31
00669,18.28842,-66.87503,12b,01-01,12-31
00670,18.24134,-66.97604,12b,01-01,12-31
00674,18.42614,-66.48697,13a,01-01,12-31
00676,18.37956,-67.08424,12b,01-01,12-31
00677,18.33612,-67.23675,13a,01-01,12-31
00678,18.44233,-66.93275,13a,01-01,12-31
00680,18.20523,-67.12655,12b,01-01,12-31
00682,18.2084,-67.15428,13a,01-01,12-31
00683,18.09281,-67.04524,12b,01-01,12-31
00685,18.3326,-66.98104,12b,01-01,12-31
00687,18.31708,-66.41528,12b,01-01,12-31
00688,18.40415,-66.61348,12b,01-01,12-31
00690,18.49537,-67.09867,13a,01-01,12-31
00692,18.41967,-66.33186,13a,01-01,12-31
